=====================                                                                                                        parameter  experiment:  -nlabel  7              -LM           1           -IM          4          -Nit        -wCP                           -O         ./QckChi_result_7labels.csv
Database                                                                                                                     Lab        #Cont        Global   #Ex            #Rules        #Train      #ErrorTrain  #Test      #TestWNC    #Error                         %NC        TrainTime                    Nose      TestTime
banana                                                                                                                       7          2            Global   5300,000000    32,700000     80,603774   19,396226    86,226415  86,242687   13,757313                      0,018868   0,021274                     0,000000  0,001084  0,000000  0,000000  0,000000
bands                                                                                                                        7          19           Global   365,000000     328,500000    100,000000  0,000000     4,109589   88,235294   11,764706                      95,342466  0,007951                     0,000000  0,017546  0,000000  0,000000  0,000000
bupa                                                                                                                         7          6            Global   345,000000     186,200000    86,698873   13,301127    54,202899  60,322581   39,677419                      10,144928  0,004179                     0,000000  0,000545  0,000000  0,000000  0,000000
census                                                                                                                       7          9            Global   142521,000000  84651,500000  99,483663   0,516337     46,329313  96,594350   3,405650                       52,037244  5,870729                     0,000000  0,743433  0,000000  0,000000  0,000000
cleveland                                                                                                                    7          13           Global   297,000000     265,700000    100,000000  0,000000     9,427609   73,684211   26,315789                      87,205387  0,005661                     0,000000  0,000922  0,000000  0,000000  0,000000
coil2000                                                                                                                     7          2            Global   9822,000000    7455,300000   98,796353   1,203647     23,712075  92,274168   7,725832                       74,302586  0,910875                     0,000000  0,099025  0,000000  0,000000  0,000000
covtype_2_vs_1                                                                                                               7          10           Global   495141,000000  62615,400000  90,967309   9,032691     89,034639  89,064498   10,935502                      0,033526   23,217058                    0,000000  2,962609  0,000000  0,000000  0,000000
crx                                                                                                                          7          6            Global   653,000000     551,600000    99,013102   0,986898     30,781011  85,897436   14,102564                      64,165391  0,009080                     0,000000  0,001432  0,000000  0,000000  0,000000
fars_0_vs_4_                                                                                                                 7          5            Global   62123,000000   42144,700000  100,000000  0,000000     41,115207  100,000000  0,000000                       58,884793  2,081683                     0,000000  0,226021  0,000000  0,000000  0,000000
heart                                                                                                                        7          5            Global   270,000000     241,300000    100,000000  0,000000     7,037037   86,363636   13,636364                      91,851852  0,004291                     0,000000  0,000634  0,000000  0,000000  0,000000
iris                                                                                                                         7          4            Global   150,000000     66,100000     98,000000   2,000000     92,000000  94,520548   5,479452                       2,666667   0,001002                     0,000000  0,000077  0,000000  0,000000  0,000000
letter                                                                                                                       7          16           Global   20000,000000   13086,400000  99,029444   0,970556     82,130000  88,473554   11,526446                      7,170000   0,371883                     0,000000  0,346696  0,000000  0,000000  0,000000
magic                                                                                                                        7          10           Global   19020,000000   4517,400000   86,471550   13,528450    80,294427  80,868414   19,131586                      0,709779   0,237756                     0,000000  0,070132  0,000000  0,000000  0,000000
newthyroid                                                                                                                   7          5            Global   215,000000     67,400000     97,881137   2,118863     91,162791  94,685990   5,314010                       3,720930   0,001202                     0,000000  0,000092  0,000000  0,000000  0,000000
mammographic                                                                                                                 7          1            Global   830,000000     183,100000    87,724230   12,275770    73,493976  81,117021   18,882979                      9,397590   0,005499                     0,000000  0,000377  0,000000  0,000000  0,000000
page-blocks                                                                                                                  7          10           Global   5472,000000    292,400000    95,382554   4,617446     94,499269  94,880734   5,119266                       0,402047   0,057951                     0,000000  0,006758  0,000000  0,000000  0,000000
penbased                                                                                                                     7          16           Global   10992,000000   9394,600000   100,000000  0,000000     77,492722  99,625731   0,374269                       22,216157  0,179212                     0,000000  0,192252  0,000000  0,000000  0,000000
phoneme                                                                                                                      7          5            Global   5404,000000    471,100000    84,055021   15,944979    82,846040  82,922763   17,077237                      0,092524   0,035796                     0,000000  0,003389  0,000000  0,000000  0,000000
pima                                                                                                                         7          8            Global   768,000000     599,500000    96,961806   3,038194     60,937500  69,539376   30,460624                      12,369792  0,008396                     0,000000  0,002286  0,000000  0,000000  0,000000
ring                                                                                                                         7          20           Global   7400,000000    6612,400000   100,000000  0,000000     39,783784  97,193793   2,806207                       59,067568  0,165381                     0,000000  0,290486  0,000000  0,000000  0,000000
saheart                                                                                                                      7          8            Global   462,000000     399,100000    99,398749   0,601251     46,753247  67,924528   32,075472                      31,168831  0,005524                     0,000000  0,002486  0,000000  0,000000  0,000000
satimage                                                                                                                     7          36           Global   6435,000000    3237,300000   87,882241   12,117759    70,303030  73,849167   26,150833                      4,801865   0,249837                     0,000000  0,271825  0,000000  0,000000  0,000000
segment                                                                                                                      7          19           Global   2310,000000    1226,700000   98,095238   1,904762     88,571429  95,429104   4,570896                       7,186147   0,047331                     0,000000  0,023405  0,000000  0,000000  0,000000
shuttle                                                                                                                      7          9            Global   57999,000000   85,500000     97,660688   2,339312     97,701685  97,715163   2,284837                       0,013793   0,583724                     0,000000  0,067820  0,000000  0,000000  0,000000
spambase                                                                                                                     7          57           Global   4597,000000    2154,800000   93,979165   6,020835     75,766804  87,271361   12,728639                      13,182510  0,270649                     0,000000  0,092610  0,000000  0,000000  0,000000
texture                                                                                                                      7          40           Global   5500,000000    4389,100000   99,781818   0,218182     75,309091  97,025064   2,974936                       22,381818  0,289956                     0,000000  0,285811  0,000000  0,000000  0,000000
thyroid                                                                                                                      7          6            Global   7200,000000    1165,300000   94,867284   5,132716     91,402778  93,546553   6,453447                       2,291667   0,125682                     0,000000  0,015165  0,000000  0,000000  0,000000
twonorm                                                                                                                      7          20           Global   7400,000000    6660,000000   100,000000  0,000000     0,256757   90,476190   9,523810                       99,716216  0,157665                     0,000000  0,353289  0,000000  0,000000  0,000000
vehicle                                                                                                                      7          18           Global   846,000000     755,600000    99,894930   0,105070     29,078014  70,689655   29,310345                      58,865248  0,021342                     0,000000  0,032209  0,000000  0,000000  0,000000
vowel                                                                                                                        7          11           Global   990,000000     748,600000    99,809203   0,190797     92,727273  96,529968   3,470032                       3,939394   0,013008                     0,000000  0,005455  0,000000  0,000000  0,000000
winequality-red                                                                                                              7          11           Global   1599,000000    1028,200000   92,891390   7,108610     59,287054  62,245568   37,754432                      4,752971   0,025189                     0,000000  0,012409  0,000000  0,000000  0,000000
winequality-white                                                                                                            7          11           Global   4898,000000    2145,500000   80,558958   19,441042    54,328297  54,843364   45,156636                      0,939159   0,081322                     0,000000  0,025990  0,000000  0,000000  0,000000

===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
===========================================================================================================================
